qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|A0LMH5|A0LMH5_SYNFM	UPIMAPI	Hydrogenase (NiFe) small subunit HydA (EC 1.12.99.6)	[Ni-Fe] hydrogenase complex [GO:0044569]; ferredoxin hydrogenase complex [GO:0009375]; membrane [GO:0016020]; periplasmic space [GO:0042597]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; ferredoxin hydrogenase activity [GO:0008901]; hydrogenase (acceptor) activity [GO:0033748]; metal ion binding [GO:0046872]; anaerobic respiration [GO:0009061]	1.12.99.6	PF14720;PF01058;
tr|A0LMD3|A0LMD3_SYNFM	UPIMAPI	TRAP dicarboxylate transporter, DctP subunit	outer membrane-bounded periplasmic space [GO:0030288]; transmembrane transport [GO:0055085]		PF03480;
tr|A0LM21|A0LM21_SYNFM	UPIMAPI	Pyruvate ferredoxin oxidoreductase, beta subunit (EC 1.2.7.1)	pyruvate synthase activity [GO:0019164]; thiamine pyrophosphate binding [GO:0030976]	1.2.7.1	PF02775;
tr|A0LM20|A0LM20_SYNFM	UPIMAPI	Pyruvate ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.1)	pyruvate synthase activity [GO:0019164]; response to oxidative stress [GO:0006979]	1.2.7.1	PF17147;PF01855;
tr|A0LM19|A0LM19_SYNFM	UPIMAPI	Pyruvate ferredoxin oxidoreductase, delta subunit (EC 1.2.7.1)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; pyruvate synthase activity [GO:0019164]	1.2.7.1	PF14697;
tr|A0LM18|A0LM18_SYNFM	UPIMAPI	Pyruvate ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.1)	pyruvate synthase activity [GO:0019164]	1.2.7.1	PF01558;
tr|A0LLX0|A0LLX0_SYNFM	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF07715;PF00593;
tr|A0LLU0|A0LLU0_SYNFM	UPIMAPI	Ferredoxin	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF13510;PF10588;PF22117;
tr|A0LLT9|A0LLT9_SYNFM	UPIMAPI	NADH dehydrogenase (Quinone) (EC 1.6.5.11)	4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	1.6.5.11	PF01257;PF01512;PF10589;PF10531;
tr|A0LLT8|A0LLT8_SYNFM	UPIMAPI	NADH dehydrogenase (Ubiquinone), 24 kDa subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF01257;
tr|A0LLT0|A0LLT0_SYNFM	UPIMAPI	NADH dehydrogenase (Quinone) (EC 1.6.5.11)	4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]	1.6.5.11	PF01257;PF01512;PF12838;PF10589;
tr|A0LLS9|A0LLS9_SYNFM	UPIMAPI	NADH dehydrogenase (Ubiquinone), 24 kDa subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF01257;
tr|A0LLE3|A0LLE3_SYNFM	UPIMAPI	Acetyl-CoA decarbonylase/synthase delta subunit			PF03599;
tr|A0LLE2|A0LLE2_SYNFM	UPIMAPI	Carbon monoxide dehydrogenase (EC 1.2.7.4)	4 iron, 4 sulfur cluster binding [GO:0051539]; anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; hydroxylamine reductase activity [GO:0050418]; nickel cation binding [GO:0016151]; peroxidase activity [GO:0004601]; generation of precursor metabolites and energy [GO:0006091]; response to hydrogen peroxide [GO:0042542]	1.2.7.4	PF03063;
tr|A0LLE1|A0LLE1_SYNFM	UPIMAPI	CO-methylating acetyl-CoA synthase (EC 2.3.1.169)	anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; CO-methylating acetyl-CoA synthase activity [GO:0043884]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; acetyl-CoA metabolic process [GO:0006084]	2.3.1.169	PF19436;PF03598;PF18537;
tr|A0LLD9|A0LLD9_SYNFM	UPIMAPI	Dihydropteroate synthase, DHPS	cytosol [GO:0005829]; methionine synthase activity [GO:0008705]; methylation [GO:0032259]; pteridine-containing compound metabolic process [GO:0042558]		PF00809;
tr|A0LKR9|A0LKR9_SYNFM	UPIMAPI	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	thioredoxin peroxidase activity [GO:0008379]	1.11.1.24	PF08534;
tr|A0LKR5|A0LKR5_SYNFM	UPIMAPI	Fumarate hydratase class I (EC 4.2.1.2)	4 iron, 4 sulfur cluster binding [GO:0051539]; fumarate hydratase activity [GO:0004333]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]	4.2.1.2	PF05681;PF05683;
tr|A0LKL5|A0LKL5_SYNFM	UPIMAPI	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]		PF13458;
tr|A0LK41|A0LK41_SYNFM	UPIMAPI	Antibiotic biosynthesis monooxygenase	monooxygenase activity [GO:0004497]		PF03992;
tr|A0LK40|A0LK40_SYNFM	UPIMAPI	Cache, type 2	plasma membrane [GO:0005886]		PF08269;
tr|A0LK38|A0LK38_SYNFM	UPIMAPI	Histone family protein DNA-binding protein	cytosol [GO:0005829]; DNA binding [GO:0003677]; structural constituent of chromatin [GO:0030527]; chromosome condensation [GO:0030261]		PF00216;
tr|A0LJX5|A0LJX5_SYNFM	UPIMAPI	Peptidoglycan-binding LysM			PF04972;PF01476;
tr|A0LJW6|A0LJW6_SYNFM	UPIMAPI	Peptidase C11, clostripain			PF03415;
tr|A0LJT0|A0LJT0_SYNFM	UPIMAPI	succinate dehydrogenase (EC 1.3.5.1)	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]	1.3.5.1	PF00890;PF02910;
tr|A0LJS9|A0LJS9_SYNFM	UPIMAPI	succinate dehydrogenase (EC 1.3.5.1)	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (quinone) activity [GO:0008177]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]	1.3.5.1	PF13085;PF13183;
tr|A0LJQ2|A0LJQ2_SYNFM	UPIMAPI	Oxidoreductase FAD/NAD(P)-binding domain protein	2 iron, 2 sulfur cluster binding [GO:0051537]; flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]; pyrimidine nucleotide biosynthetic process [GO:0006221]		PF10418;PF00970;PF00175;
tr|A0LJA1|A0LJA1_SYNFM	UPIMAPI	Dodecin domain-containing protein			PF07311;
tr|A0LJ87|A0LJ87_SYNFM	UPIMAPI	4Fe-4S ferredoxin, iron-sulfur binding domain protein	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF12831;PF00037;PF12838;PF07992;
tr|A0LJ85|A0LJ85_SYNFM	UPIMAPI	F420-non-reducing hydrogenase iron-sulfur subunit D domain-containing protein	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]		PF02662;
tr|A0LJ84|A0LJ84_SYNFM	UPIMAPI	4Fe-4S ferredoxin-type domain-containing protein	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF02754;PF13183;
tr|A0LJ81|A0LJ81_SYNFM	UPIMAPI	Molybdopterin oxidoreductase Fe4S4 region	membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase activity [GO:0003954]; respiratory electron transport chain [GO:0022904]		PF04879;PF00384;
tr|A0LJ79|A0LJ79_SYNFM	UPIMAPI	4Fe-4S ferredoxin, iron-sulfur binding domain protein	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF12838;PF07992;
tr|A0LJ75|A0LJ75_SYNFM	UPIMAPI	UspA domain protein			PF00582;
tr|A0LJ30|A0LJ30_SYNFM	UPIMAPI	Porin			
tr|A0LIY7|A0LIY7_SYNFM	UPIMAPI	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	succinate-CoA ligase complex (ADP-forming) [GO:0009361]; nucleotide binding [GO:0000166]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; tricarboxylic acid cycle [GO:0006099]	6.2.1.5	PF02629;PF00549;
tr|A0LIW7|A0LIW7_SYNFM	UPIMAPI	ACT domain protein			PF19571;
tr|A0LIW6|A0LIW6_SYNFM	UPIMAPI	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]		PF13458;
tr|A0LIP6|A0LIP6_SYNFM	UPIMAPI	Conserved hypothetical membrane protein	membrane [GO:0016020]		
tr|A0LI60|A0LI60_SYNFM	UPIMAPI	Nitrogen-fixing NifU domain protein	iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]; iron-sulfur cluster assembly [GO:0016226]		PF01106;
tr|A0LHS7|A0LHS7_SYNFM	UPIMAPI	4Fe-4S ferredoxin, iron-sulfur binding domain protein	4 iron, 4 sulfur cluster binding [GO:0051539]; oxidoreductase activity [GO:0016491]		PF12831;
tr|A0LHS6|A0LHS6_SYNFM	UPIMAPI	Methyl-viologen-reducing hydrogenase, delta subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF12831;PF13187;PF02662;
tr|A0LHL3|A0LHL3_SYNFM	UPIMAPI	Carboxyl transferase	acetyl-CoA carboxylase complex [GO:0009317]; acetyl-CoA carboxylase activity [GO:0003989]; propionyl-CoA carboxylase activity [GO:0004658]; transferase activity [GO:0016740]; fatty acid biosynthetic process [GO:0006633]		PF01039;
tr|A0LHL1|A0LHL1_SYNFM	UPIMAPI	Stress responsive alpha-beta barrel domain protein			PF07876;
tr|A0LH40|A0LH40_SYNFM	UPIMAPI	Adenylylsulfate reductase, alpha subunit	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]		PF00890;PF02910;
tr|A0LH39|A0LH39_SYNFM	UPIMAPI	Adenylylsulfate reductase, beta subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]		PF12139;PF12838;
tr|A0LH28|A0LH28_SYNFM	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00012;
tr|A0LGK7|A0LGK7_SYNFM	UPIMAPI	Extracellular ligand-binding receptor			PF13458;
tr|A0LGH9|A0LGH9_SYNFM	UPIMAPI	Extracellular ligand-binding receptor			PF13458;
tr|A0LG79|A0LG79_SYNFM	UPIMAPI	Cold-shock DNA-binding protein family	cytoplasm [GO:0005737]; DNA binding [GO:0003677]		PF00313;
tr|A0LFX1|A0LFX1_SYNFM	UPIMAPI	Universal stress protein	cytoplasm [GO:0005737]		PF00582;
tr|A0LFV7|A0LFV7_SYNFM	UPIMAPI	Molybdopterin oxidoreductase Fe4S4 region	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]		PF04879;PF00384;PF01568;
tr|A0LFJ0|A0LFJ0_SYNFM	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF07715;PF00593;
tr|A0LFH3|A0LFH3_SYNFM	UPIMAPI	Lipoprotein			PF20389;
tr|A0LFF9|A0LFF9_SYNFM	UPIMAPI	Pyruvate carboxylase subunit B (EC 6.4.1.1)	cytoplasm [GO:0005737]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	6.4.1.1	PF00364;PF00682;PF02436;
tr|A0LFF6|A0LFF6_SYNFM	UPIMAPI	Methylmalonyl-CoA mutase (EC 5.4.99.2)	cobalamin binding [GO:0031419]; methylmalonyl-CoA mutase activity [GO:0004494]	5.4.99.2	PF01642;
tr|A0LFF5|A0LFF5_SYNFM	UPIMAPI	Cobalamin B12-binding domain protein	cobalamin binding [GO:0031419]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]		PF02310;
tr|A0LFF3|A0LFF3_SYNFM	UPIMAPI	Methylmalonyl-CoA epimerase (EC 5.1.99.1)	methylmalonyl-CoA epimerase activity [GO:0004493]; L-methylmalonyl-CoA metabolic process [GO:0046491]	5.1.99.1	PF13669;
tr|A0LF38|A0LF38_SYNFM	UPIMAPI	Flavodoxin/nitric oxide synthase	FMN binding [GO:0010181]		PF12724;
tr|A0LF20|A0LF20_SYNFM	UPIMAPI	DUF3303 domain-containing protein			PF11746;
tr|A0LF13|A0LF13_SYNFM	UPIMAPI	Extracellular ligand-binding receptor	amino acid transport [GO:0006865]		PF13458;
tr|A0LEY5|A0LEY5_SYNFM	UPIMAPI	Phosphate-binding protein	phosphate ion binding [GO:0042301]; phosphate ion transport [GO:0006817]		PF12849;
tr|A0LEV9|A0LEV9_SYNFM	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00012;
tr|A0LE88|A0LE88_SYNFM	UPIMAPI	Formate dehydrogenase, beta subunit, putative	cell envelope [GO:0030313]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]		PF13247;
tr|A0LE87|A0LE87_SYNFM	UPIMAPI	Formate dehydrogenase alpha subunit (EC 1.17.1.9)	cell envelope [GO:0030313]; periplasmic space [GO:0042597]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; formate dehydrogenase (cytochrome-c-553) activity [GO:0047111]; formate dehydrogenase (NAD+) activity [GO:0008863]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]	1.17.1.9	PF00384;PF01568;
tr|A0LE82|A0LE82_SYNFM	UPIMAPI	Molybdopterin oxidoreductase	membrane [GO:0016020]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase activity [GO:0003954]; respiratory electron transport chain [GO:0022904]		PF00384;PF01568;
tr|A0LE81|A0LE81_SYNFM	UPIMAPI	Molybdopterin oxidoreductase Fe4S4 region	membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]		PF13510;PF12838;PF04879;PF00384;PF10588;
tr|A0B8W6|A0B8W6_METTP	UPIMAPI	Proteasome subunit alpha (20S proteasome alpha subunit) (Proteasome core protein PsmA)	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]		PF00227;PF10584;
tr|A0B8F2|A0B8F2_METTP	UPIMAPI	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; acetyl-CoA biosynthetic process from acetate [GO:0019427]	6.2.1.1	PF16177;PF00501;PF13193;
tr|A0B7Z8|A0B7Z8_METTP	UPIMAPI	Extracellular solute-binding protein, family 5	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|A0B7T7|A0B7T7_METTP	UPIMAPI	Formylmethanofuran dehydrogenase, subunit D (EC 1.2.99.5)	molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491]	1.2.99.5	PF01568;
tr|A0B7N6|A0B7N6_METTP	UPIMAPI	Radical SAM domain protein	4 iron, 4 sulfur cluster binding [GO:0051539]; catalytic activity [GO:0003824]; metal ion binding [GO:0046872]		PF04055;
tr|A0B7J2|A0B7J2_METTP	UPIMAPI	Cobaltochelatase CobN subunit (EC 6.6.1.2)	membrane [GO:0016020]; cobaltochelatase activity [GO:0051116]; biosynthetic process [GO:0009058]	6.6.1.2	PF02514;PF13360;PF13570;
tr|A0B7J1|A0B7J1_METTP	UPIMAPI	Pyrrolo-quinoline quinone	membrane [GO:0016020]		PF13360;PF13570;
tr|A0B7F1|A0B7F1_METTP	UPIMAPI	Periplasmic binding protein			PF01497;
tr|A0B6Z3|A0B6Z3_METTP	UPIMAPI	S-layer-related duplication domain	extracellular region [GO:0005576]; membrane [GO:0016020]; S-layer [GO:0030115]		PF18204;PF07752;
tr|A0B6R9|A0B6R9_METTP	UPIMAPI	UspA domain protein			PF00582;
tr|A0B5Z1|A0B5Z1_METTP	UPIMAPI	Beta-lactamase domain protein	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF19583;
tr|A0B5W5|A0B5W5_METTP	UPIMAPI	Acetyl-CoA decarbonylase/synthase complex subunit alpha (ACDS complex subunit alpha) (EC 1.2.7.4) (ACDS complex carbon monoxide dehydrogenase subunit alpha) (ACDS CODH subunit alpha)	4 iron, 4 sulfur cluster binding [GO:0051539]; anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; hydroxylamine reductase activity [GO:0050418]; iron ion binding [GO:0005506]; nickel cation binding [GO:0016151]; peroxidase activity [GO:0004601]; acetyl-CoA metabolic process [GO:0006084]; response to hydrogen peroxide [GO:0042542]	1.2.7.4	PF03063;
tr|A0B5T7|A0B5T7_METTP	UPIMAPI	Calcineurin-like phosphoesterase domain-containing protein	plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; UDP-2,3-diacylglucosamine hydrolase activity [GO:0008758]; lipid A biosynthetic process [GO:0009245]		PF00149;
tr|A0A384LNN1|A0A384LNN1_PLAKH	UPIMAPI	diphosphoinositol-pentakisphosphate 1-kinase (EC 2.7.4.24)	cytosol [GO:0005829]; 5-diphosphoinositol pentakisphosphate 1-kinase activity [GO:0033857]; acid phosphatase activity [GO:0003993]; ATP binding [GO:0005524]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]	2.7.4.24	PF00328;PF18086;
sp|Q9EV94|GRDE_ACESD	UPIMAPI	Glycine reductase complex component B subunits alpha and beta (EC 1.21.4.2) (Selenoprotein PB alpha/beta) [Cleaved into: Betaine reductase component B subunit beta; Betaine reductase component B subunit alpha]	glycine reductase activity [GO:0030699]	1.21.4.2	PF09338;
sp|Q74H59|DNAK_GEOSL	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]		PF00012;
sp|Q74GY2|ATPA_GEOSL	UPIMAPI	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	7.1.2.2	PF00006;PF00306;PF02874;
sp|Q74BW9|ILVC_GEOSL	UPIMAPI	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	cytosol [GO:0005829]; ketol-acid reductoisomerase activity [GO:0004455]; magnesium ion binding [GO:0000287]; NADP binding [GO:0050661]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	1.1.1.86	PF01450;PF07991;
sp|Q74AR6|ENO_GEOSL	UPIMAPI	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	4.2.1.11	PF00113;PF03952;
sp|Q748X8|EFTU_GEOSL	UPIMAPI	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF00009;PF03144;PF03143;
sp|Q747C7|CH60_GEOSL	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	GroEL-GroES complex [GO:1990220]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]; response to heat [GO:0009408]	5.6.1.7	PF00118;
sp|Q58441|MTD_METJA	UPIMAPI	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	1.5.98.1	PF01993;
sp|Q50774|MTRG_METTM	UPIMAPI	Tetrahydromethanopterin S-methyltransferase subunit G (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit G)	plasma membrane [GO:0005886]; tetrahydromethanopterin S-methyltransferase activity [GO:0030269]; methanogenesis, from carbon dioxide [GO:0019386]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]	7.2.1.4	PF04210;
sp|Q46506|HNDB_SOLFR	UPIMAPI	NADP-reducing hydrogenase subunit HndB (EC 1.12.1.3) (Hydrogen dehydrogenase (NADP(+)))	hydrogen dehydrogenase (NADP+) activity [GO:0050583]	1.12.1.3	
sp|Q46505|HNDA_SOLFR	UPIMAPI	NADH dehydrogenase (Ubiquinone) 24 kDa subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF01257;
sp|Q3A9J4|GRDB_CARHZ	UPIMAPI	Glycine reductase complex component B subunit gamma (EC 1.21.4.2) (Selenoprotein PB gamma)	glycine reductase complex [GO:0030700]; glycine reductase activity [GO:0030699]	1.21.4.2	PF07355;
sp|Q39W87|EFTS_GEOMG	UPIMAPI	Elongation factor Ts (EF-Ts)	cytoplasm [GO:0005737]; translation elongation factor activity [GO:0003746]		PF00889;
